team,season,run_id,avg_wins,seed_1_pct,seed_2_pct,seed_3_pct,seed_4_pct,seed_5_pct,seed_6_pct,seed_7_pct,seed_8_pct,seed_9_pct,seed_10_pct,seed_11_pct,seed_12_pct,seed_13_pct,seed_14_pct,seed_15_pct,missed_playoffs_pct,first_round_pct,second_round_pct,conf_finals_pct,finals_pct,champion_pct
HOU,2025-26,production,41.2600000000,2.2000000000,5.0000000000,6.3000000000,7.1000000000,9.7000000000,8.8000000000,6.7000000000,7.2000000000,8.4000000000,7.3000000000,9.4000000000,6.2000000000,7.2000000000,4.8000000000,3.7000000000,45.7000000000,28.9000000000,14.5000000000,6.9000000000,2.4000000000,1.6000000000
IND,2025-26,production,37.9400000000,1.1000000000,2.1000000000,1.7000000000,3.5000000000,3.8000000000,4.6000000000,6.2000000000,6.6000000000,8.6000000000,9.3000000000,10.8000000000,10.3000000000,10.7000000000,12.2000000000,8.5000000000,71.4000000000,17.3000000000,7.3000000000,1.9000000000,1.3000000000,0.8000000000
LAC,2025-26,production,42.0200000000,2.7000000000,6.0000000000,8.0000000000,8.6000000000,8.9000000000,9.4000000000,8.5000000000,8.3000000000,7.9000000000,6.2000000000,6.5000000000,7.8000000000,4.6000000000,4.9000000000,1.7000000000,39.5000000000,33.9000000000,16.1000000000,7.3000000000,1.9000000000,1.3000000000
LAL,2025-26,production,42.8800000000,3.7000000000,7.9000000000,10.2000000000,10.2000000000,9.0000000000,10.5000000000,8.6000000000,8.8000000000,6.5000000000,6.8000000000,5.5000000000,4.4000000000,3.8000000000,2.7000000000,1.4000000000,31.0000000000,37.0000000000,17.7000000000,9.0000000000,3.0000000000,2.3000000000
MEM,2025-26,production,39.0400000000,0.6000000000,2.0000000000,3.1000000000,4.0000000000,4.1000000000,4.5000000000,8.7000000000,7.7000000000,7.5000000000,9.0000000000,9.9000000000,10.0000000000,10.0000000000,10.5000000000,8.4000000000,67.0000000000,21.3000000000,8.0000000000,2.4000000000,0.9000000000,0.4000000000
MIA,2025-26,production,42.7500000000,8.4000000000,9.8000000000,10.2000000000,8.6000000000,10.4000000000,7.4000000000,8.1000000000,7.9000000000,6.0000000000,6.4000000000,6.2000000000,4.1000000000,3.0000000000,2.7000000000,0.8000000000,29.6000000000,36.1000000000,18.4000000000,7.4000000000,5.4000000000,3.1000000000
MIL,2025-26,production,40.3100000000,4.0000000000,4.6000000000,5.7000000000,6.7000000000,6.4000000000,7.1000000000,7.7000000000,8.7000000000,9.7000000000,8.2000000000,7.2000000000,9.3000000000,6.6000000000,5.1000000000,3.0000000000,48.9000000000,30.5000000000,10.5000000000,5.6000000000,3.0000000000,1.5000000000
MIN,2025-26,production,43.5600000000,5.4000000000,11.4000000000,12.2000000000,10.8000000000,8.4000000000,8.6000000000,8.6000000000,6.6000000000,6.1000000000,5.7000000000,5.3000000000,3.6000000000,3.6000000000,2.9000000000,0.8000000000,29.0000000000,32.6000000000,18.0000000000,13.2000000000,4.0000000000,3.2000000000
NOP,2025-26,production,42.3900000000,2.8000000000,8.1000000000,9.5000000000,8.0000000000,9.3000000000,10.1000000000,6.1000000000,9.7000000000,8.1000000000,6.4000000000,6.9000000000,4.9000000000,4.4000000000,3.8000000000,1.9000000000,35.4000000000,35.1000000000,17.7000000000,6.8000000000,2.8000000000,2.2000000000
NYK,2025-26,production,43.2700000000,10.4000000000,11.4000000000,9.9000000000,10.6000000000,8.3000000000,7.9000000000,8.4000000000,9.1000000000,6.5000000000,6.7000000000,3.6000000000,3.0000000000,2.7000000000,0.9000000000,0.6000000000,24.8000000000,32.1000000000,20.6000000000,10.1000000000,7.0000000000,5.4000000000
